["Cycle No.","Cycle time","Low pulse width","High pulse width"],
[1,6.47525709729344E-05,4.79402393429663E-06,5.99585470386378E-05],
[2,6.47542838838232E-05,4.79544246834018E-06,5.9958841415483E-05],
[3,6.47519981686884E-05,4.79516000742857E-06,5.99568381612598E-05],
[4,6.47519981686884E-05,4.79516000742857E-06,5.99568381612598E-05],
[5,6.4754738874289E-05,4.79635906690463E-06,5.99583798073844E-05],
[6,6.47519981686884E-05,4.79361836130395E-06,5.99583798073844E-05],
[7,6.47544013466565E-05,4.79682067052259E-06,5.99575806761339E-05],
[8,6.47527972999389E-05,4.79468258498069E-06,5.99581147149582E-05],
[9,6.47538673097023E-05,4.79722239906256E-06,5.99566449106398E-05],
[10,6.47546664403279E-05,4.79535325804861E-06,5.99593131822793E-05],
[11,6.47546592213822E-05,4.79268498640906E-06,5.99619742349732E-05],
[12,6.47519981686884E-05,4.79002393371521E-06,5.99619742349732E-05],
[13,6.47519981686884E-05,4.79402393429662E-06,5.99579742343917E-05],
[14,6.47519981686884E-05,4.79402393429662E-06,5.99579742343917E-05],
[15,6.47546648365234E-05,4.7980185268094E-06,5.9956646309714E-05],
[16,6.47521900202343E-05,4.79535185897439E-06,5.99568381612599E-05],
[17,6.4754738874289E-05,4.79635906690452E-06,5.99583798073845E-05],
[18,6.47544013466564E-05,4.7936183613039E-06,5.99607829853525E-05],
[19,3.23759966811682E-05,4.79441749255444E-06,2.75815791886138E-05],
[20,3.47735982416755E-05,4.79069541338786E-06,2.99829028282876E-05],
[21,3.23783998591363E-05,2.39682073839911E-06,2.99815791207371E-05],
[22,3.23768006187707E-05,2.39402400217326E-06,2.99827766165974E-05],
[23,3.23751975499177E-05,2.39388352160684E-06,2.99813140283108E-05],
[24,3.23768006187707E-05,2.39801859468615E-06,2.99787820240845E-05],
[25,3.23780560692987E-05,2.39722246693909E-06,2.99808336023596E-05],
[26,3.47707397222944E-05,3.23771559730764E-05,2.39358374921807E-06],
[27,3.23783998591363E-05,2.99844239960289E-05,2.39397586310739E-06],
[28,3.23760014875202E-05,2.99832168740334E-05,2.39278461348674E-06],
[29,3.23765694854143E-05,2.99848179313566E-05,2.39175155405773E-06],
[30,3.23754286832741E-05,2.99854486212423E-05,2.38998006203174E-06],
[31,6.23573347804691E-05,2.99860208186422E-05,3.23713139618268E-05],
[32,3.23762593622458E-05,2.40067964737988E-06,2.9975579714866E-05],
[33,3.23757388064425E-05,2.40042477615767E-06,2.99753140302849E-05],
[34,3.23762593622458E-05,2.4000095658421E-06,2.99762497964037E-05],
[35,3.23789726633824E-05,2.40042477615767E-06,2.99785478872247E-05],
[36,3.23762278145246E-05,2.39864484991611E-06,2.99775829646085E-05],
[37,3.23778642177528E-05,2.40001958023484E-06,2.9977844637518E-05],
[38,6.23521900881109E-05,2.39935553778209E-06,5.99528345503289E-05],
[39,6.47521420573309E-05,4.79916361835952E-06,5.99529784389714E-05],
[40,6.47545949856465E-05,4.79941748748056E-06,5.99551774981659E-05],
[41,6.4755200477907E-05,4.79682067052248E-06,5.99583798073845E-05],
[42,6.47519981686884E-05,4.7936183613039E-06,5.99583798073845E-05],
[43,6.47538673097022E-05,4.79681951065774E-06,5.99570477990445E-05],
[44,6.47519981686884E-05,4.79535325804883E-06,5.99566449106395E-05],
[45,6.47533313413739E-05,4.79535325804883E-06,5.99579780833251E-05],
[46,6.47533332676425E-05,4.79802008594449E-06,5.9955313181698E-05],
[47,6.47546592213821E-05,4.79548209970449E-06,5.99591771216776E-05],
[48,6.47525709729347E-05,4.79402393429662E-06,5.99585470386381E-05],
[49,6.47542838838229E-05,4.79345113005031E-06,5.99608327537726E-05],
[50,6.47519981686884E-05,4.79516000742889E-06,5.99568381612595E-05],
[51,6.47519981686884E-05,4.79516000742889E-06,5.99568381612595E-05],
[52,6.47547388742892E-05,4.79635906690474E-06,5.99583798073845E-05],
[53,6.47519981686884E-05,4.79682067052248E-06,5.99551774981659E-05],
[54,6.47519981686884E-05,4.79682067052248E-06,5.99551774981659E-05],
[55,6.4755200477907E-05,4.79682067052248E-06,5.99583798073845E-05],
[56,6.47538673097022E-05,4.79388345373021E-06,5.9959983855972E-05],
[57,6.47533313413739E-05,4.79535325804883E-06,5.99579780833251E-05],
[58,6.47533332676425E-05,4.7940200853633E-06,5.99593131822792E-05],
[59,6.47519981686884E-05,4.79268498640916E-06,5.99593131822792E-05],
[60,6.47546592213821E-05,4.79668498699036E-06,5.99579742343917E-05],
[61,6.47525709729347E-05,4.79402393429662E-06,5.99585470386381E-05],
[62,6.47542838838229E-05,4.79544246833989E-06,5.9958841415483E-05],
